Block Num,Cluster Size,Threads Per Block,Num Runs,Average Time (sec),Throughput (TB/s)
13200,1,64,2000,0.00017,4.60091
13200,1,128,2000,0.00014,5.63232
13200,1,256,2000,0.00016,4.96145
13200,1,512,2000,0.00018,4.38718
13200,1,1024,2000,0.00019,4.19809
13200,2,64,2000,0.00017,4.54436
13200,2,128,2000,0.00015,5.09836
13200,2,256,2000,0.00016,4.77675
13200,2,512,2000,0.00018,4.25668
13200,2,1024,2000,0.00019,4.06219
13200,4,64,2000,0.00019,4.04967
13200,4,128,2000,0.00016,4.91206
13200,4,256,2000,0.00019,4.13729
13200,4,512,2000,0.00021,3.79166
13200,4,1024,2000,0.00022,3.63106
13200,8,64,2000,0.00020,3.92524
13200,8,128,2000,0.00017,4.72869
13200,8,256,2000,0.00020,3.94922
13200,8,512,2000,0.00022,3.65057
13200,8,1024,2000,0.00022,3.49707
13200,16,64,2000,0.00023,3.45656
13200,16,128,2000,0.00019,4.13176
13200,16,256,2000,0.00022,3.60496
13200,16,512,2000,0.00024,3.25253
13200,16,1024,2000,0.00025,3.11726
