Batch Size,Swizzle Number,L2 Hit Rate(%),Kernel Duration (us)
256,1,72.19,346.737
256,2,72.15,346.301
256,4,72.25,346.753
256,8,72.22,349.51
256,16,72.28,345.88
512,1,83.22,670.217
512,2,83.17,675.358
512,4,83.03,670.497
512,8,83.13,675.737
512,16,83.28,670.544
1024,1,87.70,1222.01
1024,2,87.69,1220.62
1024,4,87.68,1221.4
1024,8,87.74,1220.8
1024,16,87.70,1229.68
2048,1,89.36,2441.64
2048,2,89.36,2420.96
2048,4,89.35,2423.85
2048,8,89.37,2421.41
2048,16,89.36,2421.58
4096,1,90.70,4728.1
4096,2,90.70,4726.56
4096,4,90.72,4725.35
4096,8,90.71,4728.73
4096,16,90.72,4765.42
8192,1,91.00,9422.34
8192,2,90.98,9568.96
8192,4,90.99,9422.72
8192,8,91.02,9423.64
8192,16,91.23,9422.89
16384,1,89.92,18743.1
16384,2,89.15,19036.6
16384,4,89.34,18887.2
16384,8,89.66,18740.5
16384,16,90.24,18742.5
32768,1,89.23,37715.1
32768,2,89.96,37713.2
32768,4,89.46,37712.5
32768,8,88.49,37719.5
32768,16,88.89,37713.8
65536,1,85.60,74757.8
65536,2,85.72,75337.5
65536,4,83.76,75451.1
65536,8,85.11,75397.2
65536,16,86.15,75336.6
