batch,order_line,average_time
256,1,1100.387375
256,2,1289.937375
256,3,596.888063
256,4,616.740375
256,5,1301.695375
256,6,1049.762375
512,1,1084.774375
512,2,1776.923125
512,3,1744.928250
512,4,876.537812
512,5,1756.990000
512,6,1757.234125
1024,1,3131.172250
1024,2,3446.607500
1024,3,3231.003250
1024,4,3228.778500
1024,5,3416.604750
1024,6,3483.835000
2048,1,3866.153000
2048,2,3466.182500
2048,3,6245.302000
2048,4,6401.853500
2048,5,6068.697000
2048,6,5993.459500
4096,1,15545.838000
4096,2,14007.100000
4096,3,12420.601000
4096,4,12371.430000
4096,5,12118.330000
4096,6,11147.977000
8192,1,30505.430000
8192,2,28790.590000
8192,3,25595.648000
8192,4,24953.742000
8192,5,24010.708000
8192,6,23694.682000
16384,1,61555.524000
16384,2,58770.976000
16384,3,52383.644000
16384,4,50154.816000
16384,5,48486.248000
16384,6,47934.292000
32768,1,130163.784000
32768,2,124035.728000
32768,3,94211.344000
32768,4,89200.224000
32768,5,84906.184000
32768,6,83091.896000
