Batch Size,Parameter,Order,L2 Hit Rate(%),Kernel Duration (us)
256,t1 = 1,0,97.60,333.041
256,t1 = 1,1,97.57,331.093
256,t1 = 1,2,69.07,342.588
256,t1 = 1,3,69.03,343.091
256,t1 = 2,0,96.66,338.981
256,t1 = 2,1,96.67,338.792
256,t1 = 2,2,78.47,338.668
256,t1 = 2,3,78.50,338.852
256,t1 = 4,0,89.84,338.626
256,t1 = 4,1,89.80,338.09
256,t1 = 4,2,86.47,333.321
256,t1 = 4,3,86.45,333.979
256,t1 = 8,0,81.18,331.425
256,t1 = 8,1,81.02,332.939
256,t1 = 8,2,91.36,332.724
256,t1 = 8,3,91.32,333.612
256,t1 = 16,0,66.80,332.941
256,t1 = 16,1,66.81,331.216
256,t1 = 16,2,95.47,334.147
256,t1 = 16,3,95.54,338.829
256,t1 = 32,0,51.33,359.176
256,t1 = 32,1,51.33,357.399
256,t1 = 32,2,97.69,338.529
256,t1 = 32,3,97.73,331.22
256,outer_width = 2, inner_width = 1,4,57.12,388.843
256,outer_width = 4, inner_width = 2,4,57.14,388.862
256,outer_width = 8, inner_width = 4,4,97.74,333.614
256,outer_width = 16, inner_width = 8,4,97.72,331.064
256,outer_width = 32, inner_width = 16,4,74.21,340.934
512,t1 = 1,0,96.04,649.594
512,t1 = 1,1,96.70,644.887
512,t1 = 1,2,65.62,738.571
512,t1 = 1,3,67.47,736.334
512,t1 = 2,0,95.47,644.86
512,t1 = 2,1,96.30,647.826
512,t1 = 2,2,82.35,669.756
512,t1 = 2,3,82.13,666.233
512,t1 = 4,0,91.53,645.765
512,t1 = 4,1,91.52,645.918
512,t1 = 4,2,87.14,647.264
512,t1 = 4,3,87.08,651.432
512,t1 = 8,0,83.82,644.813
512,t1 = 8,1,83.75,649.837
512,t1 = 8,2,91.05,645.575
512,t1 = 8,3,91.01,646.262
512,t1 = 16,0,72.56,646.923
512,t1 = 16,1,72.56,651.51
512,t1 = 16,2,94.11,653.179
512,t1 = 16,3,94.13,648.974
512,t1 = 32,0,59.06,708.033
512,t1 = 32,1,58.82,708.314
512,t1 = 32,2,96.84,645.87
512,t1 = 32,3,96.77,649.677
512,outer_width = 2, inner_width = 1,4,56.51,792.634
512,outer_width = 4, inner_width = 2,4,56.48,789.596
512,outer_width = 8, inner_width = 4,4,96.82,645.124
512,outer_width = 16, inner_width = 8,4,96.89,650.607
512,outer_width = 32, inner_width = 16,4,74.47,667.339
1024,t1 = 1,0,94.62,1177.7
1024,t1 = 1,1,94.89,1181.54
1024,t1 = 1,2,70.01,1290.17
