N,M,K,T,Time(ms)
128,1024,128,128,0.0188861
128,1024,128,1024,0.0659962
128,1024,128,2048,0.119551
128,1024,128,4096,0.2265
128,1024,128,8192,0.438049
128,1024,1024,128,0.0850416
128,1024,1024,1024,0.131855
128,1024,1024,2048,0.18572
128,1024,1024,4096,0.292447
128,1024,1024,8192,0.507547
128,1024,2048,128,0.159367
128,1024,2048,1024,0.2057
128,1024,2048,2048,0.257772
128,1024,2048,4096,0.363054
128,1024,2048,8192,0.577634
128,1024,4096,128,0.306805
128,1024,4096,1024,0.354923
128,1024,4096,2048,0.409087
128,1024,4096,4096,0.513276
128,1024,4096,8192,0.723866
128,1024,8192,128,0.610314
128,1024,8192,1024,0.660415
128,1024,8192,2048,0.711283
128,1024,8192,4096,0.822908
128,1024,8192,8192,1.47111
128,2048,128,128,0.0188314
128,2048,128,1024,0.0655997
128,2048,128,2048,0.118604
128,2048,128,4096,0.225165
128,2048,128,8192,0.531054
128,2048,1024,128,0.0847056
128,2048,1024,1024,0.1312
128,2048,1024,2048,0.185809
128,2048,1024,4096,0.293823
128,2048,1024,8192,0.631581
128,2048,2048,128,0.159598
128,2048,2048,1024,0.206135
128,2048,2048,2048,0.260612
128,2048,2048,4096,0.39108
128,2048,2048,8192,0.803128
128,2048,4096,128,0.308676
128,2048,4096,1024,0.354216
128,2048,4096,2048,0.464979
128,2048,4096,4096,0.67821
128,2048,4096,8192,1.08328
128,2048,8192,128,0.81207
128,2048,8192,1024,1.04473
128,2048,8192,2048,1.16532
128,2048,8192,4096,1.39655
128,2048,8192,8192,1.65631
128,4096,128,128,0.0187475
128,4096,128,1024,0.0642
128,4096,128,2048,0.116097
128,4096,128,4096,0.25693
128,4096,128,8192,0.555962
128,4096,1024,128,0.086089
128,4096,1024,1024,0.131432
128,4096,1024,2048,0.202404
128,4096,1024,4096,0.397411
128,4096,1024,8192,0.672704
128,4096,2048,128,0.163601
128,4096,2048,1024,0.210168
128,4096,2048,2048,0.351565
128,4096,2048,4096,0.541799
128,4096,2048,8192,0.808826
128,4096,4096,128,0.468778
128,4096,4096,1024,0.588504
128,4096,4096,2048,0.675486
128,4096,4096,4096,0.81261
128,4096,4096,8192,1.07831
128,4096,8192,128,1.12262
128,4096,8192,1024,1.1889
128,4096,8192,2048,1.24993
128,4096,8192,4096,1.38936
128,4096,8192,8192,1.64853
128,8192,128,128,0.0189475
128,8192,128,1024,0.0640829
128,8192,128,2048,0.145624
128,8192,128,4096,0.289271
128,8192,128,8192,0.554613
128,8192,1024,128,0.0887078
128,8192,1024,1024,0.175079
128,8192,1024,2048,0.27496
128,8192,1024,4096,0.406908
128,8192,1024,8192,0.679513
128,8192,2048,128,0.208556
128,8192,2048,1024,0.340338
128,8192,2048,2048,0.410439
128,8192,2048,4096,0.543432
128,8192,2048,8192,0.811368
128,8192,4096,128,0.542804
128,8192,4096,1024,0.609201
128,8192,4096,2048,0.679534
128,8192,4096,4096,0.814512
128,8192,4096,8192,1.07455
128,8192,8192,128,1.12024
128,8192,8192,1024,1.18283
128,8192,8192,2048,1.25184
128,8192,8192,4096,1.39058
128,8192,8192,8192,1.64767
256,1024,128,128,0.0209574
256,1024,128,1024,0.0839472
256,1024,128,2048,0.154459
256,1024,128,4096,0.299543
256,1024,128,8192,0.598566
256,1024,1024,128,0.0874336
256,1024,1024,1024,0.149456
256,1024,1024,2048,0.224278
256,1024,1024,4096,0.370417
256,1024,1024,8192,0.664764
256,1024,2048,128,0.160845
256,1024,2048,1024,0.224501
256,1024,2048,2048,0.295555
256,1024,2048,4096,0.447484
256,1024,2048,8192,0.738507
256,1024,4096,128,0.309812
256,1024,4096,1024,0.374094
256,1024,4096,2048,0.443497
256,1024,4096,4096,0.590925
256,1024,4096,8192,0.969397
256,1024,8192,128,0.616024
256,1024,8192,1024,0.68248
256,1024,8192,2048,0.748058
256,1024,8192,4096,1.09252
256,1024,8192,8192,1.80525
256,2048,128,128,0.0210282
256,2048,128,1024,0.0836627
256,2048,128,2048,0.155784
256,2048,128,4096,0.302694
256,2048,128,8192,0.693672
256,2048,1024,128,0.0886032
256,2048,1024,1024,0.15071
256,2048,1024,2048,0.223363
256,2048,1024,4096,0.373669
256,2048,1024,8192,0.825264
256,2048,2048,128,0.164254
256,2048,2048,1024,0.227724
256,2048,2048,2048,0.302666
256,2048,2048,4096,0.459137
256,2048,2048,8192,0.950616
256,2048,4096,128,0.316611
256,2048,4096,1024,0.378474
256,2048,4096,2048,0.456248
256,2048,4096,4096,0.784561
256,2048,4096,8192,1.22221
256,2048,8192,128,1.03495
256,2048,8192,1024,1.20069
256,2048,8192,2048,1.28875
256,2048,8192,4096,1.45647
256,2048,8192,8192,1.82466
256,4096,128,128,0.0210278
256,4096,128,1024,0.0831085
256,4096,128,2048,0.155738
256,4096,128,4096,0.334301
256,4096,128,8192,0.70802
256,4096,1024,128,0.0909306
256,4096,1024,1024,0.155545
256,4096,1024,2048,0.247618
256,4096,1024,4096,0.479612
256,4096,1024,8192,0.832733
256,4096,2048,128,0.168097
256,4096,2048,1024,0.234822
256,4096,2048,2048,0.389195
256,4096,2048,4096,0.611162
256,4096,2048,8192,0.957734
256,4096,4096,128,0.448503
256,4096,4096,1024,0.619856
256,4096,4096,2048,0.708185
256,4096,4096,4096,0.880719
256,4096,4096,8192,1.21913
256,4096,8192,128,1.11489
256,4096,8192,1024,1.19338
256,4096,8192,2048,1.28124
256,4096,8192,4096,1.45945
256,4096,8192,8192,1.80111
256,8192,128,128,0.0209882
256,8192,128,1024,0.0833853
256,8192,128,2048,0.182773
256,8192,128,4096,0.37598
256,8192,128,8192,0.732195
256,8192,1024,128,0.0884416
256,8192,1024,1024,0.191527
256,8192,1024,2048,0.314582
256,8192,1024,4096,0.491025
256,8192,1024,8192,0.844474
256,8192,2048,128,0.242082
256,8192,2048,1024,0.354906
256,8192,2048,2048,0.447146
256,8192,2048,4096,0.622663
256,8192,2048,8192,0.978508
256,8192,4096,128,0.535806
256,8192,4096,1024,0.624115
256,8192,4096,2048,0.709236
256,8192,4096,4096,0.89397
256,8192,4096,8192,1.23468
256,8192,8192,128,1.10589
256,8192,8192,1024,1.19306
256,8192,8192,2048,1.27963
256,8192,8192,4096,1.45238
256,8192,8192,8192,1.79842
512,1024,128,128,0.0227821
512,1024,128,1024,0.0993376
512,1024,128,2048,0.186442
512,1024,128,4096,0.36122
512,1024,128,8192,0.708738
512,1024,1024,128,0.0905136
512,1024,1024,1024,0.166687
512,1024,1024,2048,0.253916
512,1024,1024,4096,0.428676
512,1024,1024,8192,0.816301
512,1024,2048,128,0.166949
512,1024,2048,1024,0.242588
512,1024,2048,2048,0.330236
512,1024,2048,4096,0.503698
512,1024,2048,8192,0.971698
512,1024,4096,128,0.318764
512,1024,4096,1024,0.395699
512,1024,4096,2048,0.479229
512,1024,4096,4096,0.652811
512,1024,4096,8192,1.35731
512,1024,8192,128,0.633026
512,1024,8192,1024,0.711901
512,1024,8192,2048,1.01964
512,1024,8192,4096,1.5172
512,1024,8192,8192,1.92712
512,2048,128,128,0.0230934
512,2048,128,1024,0.098735
512,2048,128,2048,0.186759
512,2048,128,4096,0.365643
512,2048,128,8192,0.850111
512,2048,1024,128,0.0920704
512,2048,1024,1024,0.169802
512,2048,1024,2048,0.261375
512,2048,1024,4096,0.444499
512,2048,1024,8192,0.966518
512,2048,2048,128,0.167532
512,2048,2048,1024,0.248137
512,2048,2048,2048,0.338941
512,2048,2048,4096,0.578738
512,2048,2048,8192,1.09814
512,2048,4096,128,0.321735
512,2048,4096,1024,0.400661
512,2048,4096,2048,0.627435
512,2048,4096,4096,0.947272
512,2048,4096,8192,1.36279
512,2048,8192,128,1.11472
512,2048,8192,1024,1.2115
512,2048,8192,2048,1.31472
512,2048,8192,4096,1.51716
512,2048,8192,8192,1.9427
512,4096,128,128,0.0266483
512,4096,128,1024,0.119012
512,4096,128,2048,0.220548
512,4096,128,4096,0.441434
512,4096,128,8192,0.859411
512,4096,1024,128,0.102981
512,4096,1024,1024,0.194119
512,4096,1024,2048,0.296473
512,4096,1024,4096,0.552453
512,4096,1024,8192,0.970912
512,4096,2048,128,0.186977
512,4096,2048,1024,0.278088
512,4096,2048,2048,0.445292
512,4096,2048,4096,0.681272
512,4096,2048,8192,1.09939
512,4096,4096,128,0.507735
512,4096,4096,1024,0.632184
512,4096,4096,2048,0.742901
512,4096,4096,4096,0.955341
512,4096,4096,8192,1.36778
512,4096,8192,128,1.10923
512,4096,8192,1024,1.20006
512,4096,8192,2048,1.3096
512,4096,8192,4096,1.51367
512,4096,8192,8192,1.91924
512,8192,128,128,0.0322384
512,8192,128,1024,0.137995
512,8192,128,2048,0.260839
512,8192,128,4096,0.501722
512,8192,128,8192,0.974875
512,8192,1024,128,0.122926
512,8192,1024,1024,0.250294
512,8192,1024,2048,0.386073
512,8192,1024,4096,0.623354
512,8192,1024,8192,1.08774
512,8192,2048,128,0.266536
512,8192,2048,1024,0.402915
512,8192,2048,2048,0.523009
512,8192,2048,4096,0.760977
512,8192,2048,8192,1.2403
512,8192,4096,128,0.567521
512,8192,4096,1024,0.682901
512,8192,4096,2048,0.800321
512,8192,4096,4096,1.0329
512,8192,4096,8192,1.49731
512,8192,8192,128,1.15137
512,8192,8192,1024,1.26711
512,8192,8192,2048,1.38301
512,8192,8192,4096,1.62198
512,8192,8192,8192,2.07478
1024,1024,128,128,0.0264998
1024,1024,128,1024,0.128153
1024,1024,128,2048,0.243855
1024,1024,128,4096,0.476619
1024,1024,128,8192,1.072
1024,1024,1024,128,0.0951158
1024,1024,1024,1024,0.195252
1024,1024,1024,2048,0.310213
1024,1024,1024,4096,0.5435
1024,1024,1024,8192,1.19321
1024,1024,2048,128,0.169435
1024,1024,2048,1024,0.270053
1024,1024,2048,2048,0.387047
1024,1024,2048,4096,0.630045
1024,1024,2048,8192,1.3271
1024,1024,4096,128,0.324977
1024,1024,4096,1024,0.422794
1024,1024,4096,2048,0.534521
1024,1024,4096,4096,0.998766
1024,1024,4096,8192,1.59362
1024,1024,8192,128,1.01894
1024,1024,8192,1024,1.2323
1024,1024,8192,2048,1.36531
1024,1024,8192,4096,1.6275
1024,1024,8192,8192,2.14503
1024,2048,128,128,0.0305222
