N,M,K,T,GEMM0 Time (ms),GEMM1 Time (ms),Total Time (ms)
128,1024,128,128,0.0129978,0.0130176,.0260154
128,1024,128,1024,0.0128198,0.0132966,.0261164
128,1024,128,2048,0.0129597,0.0133757,.0263354
128,1024,128,4096,0.012967,0.0159962,.0289632
128,1024,128,8192,0.0129494,0.0295437,.0424931
128,1024,1024,128,0.0768563,0.0129126,.0897689
128,1024,1024,1024,0.0769069,0.0132566,.0901635
128,1024,1024,2048,0.0768179,0.0132368,.0900547
128,1024,1024,4096,0.0767101,0.0159395,.0926496
128,1024,1024,8192,0.0766995,0.029543,.1062425
128,1024,2048,128,0.147535,0.0129715,.1605065
128,1024,2048,1024,0.147966,0.0132058,.1611718
128,1024,2048,2048,0.148792,0.0134333,.1622253
128,1024,2048,4096,0.148404,0.0160189,.1644229
128,1024,2048,8192,0.146782,0.0298067,.1765887
128,1024,4096,128,0.290708,0.0129491,.3036571
128,1024,4096,1024,0.289214,0.0133584,.3025724
128,1024,4096,2048,0.290524,0.0132736,.3037976
128,1024,4096,4096,0.289403,0.0157958,.3051988
128,1024,4096,8192,0.289494,0.029672,.319166
128,1024,8192,128,0.577237,0.0128938,.5901308
128,1024,8192,1024,0.577449,0.013367,.590816
128,1024,8192,2048,0.576566,0.0133942,.5899602
128,1024,8192,4096,0.577075,0.0159302,.5930052
128,1024,8192,8192,0.579428,0.0297222,.6091502
128,2048,128,128,0.01304,0.0130358,.0260758
128,2048,128,1024,0.0128787,0.0134557,.0263344
128,2048,128,2048,0.012865,0.0158592,.0287242
128,2048,128,4096,0.0128838,0.0297754,.0426592
128,2048,128,8192,0.0130467,0.0694243,.0824710
128,2048,1024,128,0.078072,0.0130083,.0910803
128,2048,1024,1024,0.0774742,0.0134122,.0908864
128,2048,1024,2048,0.0777126,0.0157872,.0934998
128,2048,1024,4096,0.0777366,0.0297238,.1074604
128,2048,1024,8192,0.0775923,0.068985,.1465773
128,2048,2048,128,0.151113,0.0130157,.1641287
128,2048,2048,1024,0.150701,0.0133738,.1640748
128,2048,2048,2048,0.150748,0.0158835,.1666315
128,2048,2048,4096,0.151105,0.029751,.180856
128,2048,2048,8192,0.151641,0.0689952,.2206362
128,2048,4096,128,0.293557,0.0131366,.3066936
128,2048,4096,1024,0.294472,0.0133462,.3078182
128,2048,4096,2048,0.296564,0.0158454,.3124094
128,2048,4096,4096,0.296446,0.0297312,.3261772
