N,M,K,T,Time(ms),,,,,N,M,K,T,GEMM0 Time (ms),GEMM1 Time (ms),Total Time (ms),,(NF-F)/F,savings=2MN/(2MN+MK+KN+MT+TN)
1024,1024,128,128,0.0264998,,,,,1024,1024,128,128,0.0131878,0.0774717,0.0906595,,2.421139027,0.8
1024,2048,128,128,0.0305222,,,,,1024,2048,128,128,0.0132733,0.0779469,0.0912202,,1.988650884,0.842105263
1024,4096,128,128,0.0356621,,,,,1024,4096,128,128,0.0159776,0.0812128,0.0971904,,1.725313428,0.864864865
512,1024,128,128,0.0227821,,,,,512,1024,128,128,0.0130768,0.041409,0.0544858,,1.39160569,0.727272727
512,2048,128,128,0.0230934,,,,,512,2048,128,128,0.0131488,0.0413642,0.054513,,1.360544571,0.761904762
512,4096,128,128,0.0266483,,,,,512,4096,128,128,0.01328,0.042209,0.055489,,1.082271665,0.780487805
512,8192,128,128,0.0322384,,,,,512,8192,128,128,0.0161018,0.0420922,0.058194,,0.805114398,0.790123457
1024,8192,128,128,0.0625958,,,,,1024,8192,128,128,0.0298042,0.0789654,0.1087696,,0.73765013,0.876712329
256,8192,128,128,0.0209882,,,,,256,8192,128,128,0.0132083,0.0230733,0.0362816,,0.728666584,0.659793814
256,4096,128,128,0.0210278,,,,,256,4096,128,128,0.0133254,0.0226275,0.0359529,,0.709779435,0.653061224
256,2048,128,128,0.0210282,,,,,256,2048,128,128,0.0132704,0.0221949,0.0354653,,0.686559002,0.64
256,1024,128,128,0.0209574,,,,,256,1024,128,128,0.0128771,0.0222099,0.035087,,0.67420577,0.615384615
1024,1024,1024,128,0.0951158,,,,,1024,1024,1024,128,0.0790323,0.077007,0.1560393,,0.640519241,0.470588235
1024,2048,1024,128,0.106624,,,,,1024,2048,1024,128,0.0791165,0.0777488,0.1568653,,0.471200668,0.542372881
128,4096,128,128,0.0187475,,,,,128,4096,128,128,0.0132144,0.0133706,0.026585,,0.418055741,0.492307692
1024,8192,1024,128,0.223347,,,,,1024,8192,1024,128,0.235055,0.0788624,0.3139174,,0.405514289,0.612440191
128,8192,128,128,0.0189475,,,,,128,8192,128,128,0.0132902,0.0133136,0.0266038,,0.404079694,0.496124031
128,2048,128,128,0.0188314,,,,,128,2048,128,128,0.01304,0.0130358,0.0260758,,0.384697898,0.484848485
128,1024,128,128,0.0188861,,,,,128,1024,128,128,0.0129978,0.0130176,0.0260154,,0.377489265,0.470588235
1024,4096,1024,128,0.126804,,,,,1024,4096,1024,128,0.0911926,0.0814502,0.1726428,,0.361493328,0.587155963
1024,1024,2048,128,0.169435,,,,,1024,1024,2048,128,0.152669,0.0769674,0.2296364,,0.355306755,0.32
512,1024,1024,128,0.0905136,,,,,512,1024,1024,128,0.0806995,0.0413178,0.1220173,,0.348054878,0.372093023
512,2048,1024,128,0.0920704,,,,,512,2048,1024,128,0.0794893,0.0415341,0.1210234,,0.314465887,0.415584416
128,8192,2048,128,0.208556,,,,,128,8192,2048,128,0.243972,0.0133642,0.2573362,,0.233894973,0.103811841
