N,M,K,T,GEMM0 Time (ms),GEMM1 Time (ms),Total Time (ms)
128,16384,128,128,0.0133629,0.0133875,.0267504
128,16384,128,256,0.0135418,0.0162035,.0297453
128,16384,128,512,0.0134902,0.0302397,.0437299
128,16384,128,1024,0.0133539,0.072329,.0856829
128,16384,256,128,0.0233062,0.0135315,.0368377
128,16384,256,256,0.0232746,0.0161962,.0394708
128,16384,256,512,0.0231853,0.0302381,.0534234
128,16384,256,1024,0.0231267,0.0721898,.0953165
128,40960,128,128,0.0294861,0.0296403,.0591264
128,40960,128,256,0.0296752,0.047513,.0771882
128,40960,128,512,0.0295344,0.0935155,.1230499
128,40960,128,1024,0.029392,0.176844,.206236
128,40960,256,128,0.0564634,0.0294634,.0859268
128,40960,256,256,0.0566083,0.0475917,.1042000
128,40960,256,512,0.0566381,0.0932269,.1498650
128,40960,256,1024,0.0568986,0.177172,.2340706
128,51200,128,128,0.0306582,0.0303274,.0609856
128,51200,128,256,0.0304976,0.0722179,.1027155
128,51200,128,512,0.0303114,0.126,.1563114
128,51200,128,1024,0.0305386,0.228423,.2589616
128,51200,256,128,0.0725648,0.030736,.1033008
128,51200,256,256,0.0726035,0.0728851,.1454886
128,51200,256,512,0.0724765,0.126721,.1991975
128,51200,256,1024,0.0718218,0.228337,.3001588
128,614400,128,128,0.38442,0.383327,.767747
128,614400,128,256,0.382787,0.713755,1.096542
128,614400,128,512,0.384907,1.30923,1.694137
128,614400,128,1024,0.384426,2.52886,2.913286
128,614400,256,128,0.6991,0.384448,1.083548
128,614400,256,256,0.696497,0.709565,1.406062
128,614400,256,512,0.69645,1.31036,2.00681
128,614400,256,1024,0.696283,2.53066,3.226943
128,81920,128,128,0.0631149,0.0632982,.1264131
128,81920,128,256,0.0633683,0.0990685,.1624368
128,81920,128,512,0.0630858,0.182362,.2454478
128,81920,128,1024,0.0631165,0.352214,.4153305
128,81920,256,128,0.112645,0.0629878,.1756328
128,81920,256,256,0.112627,0.098887,.211514
128,81920,256,512,0.112597,0.182517,.295114
128,81920,256,1024,0.112478,0.351081,.463559
1024,16384,128,128,0.0723149,0.120131,.1924459
1024,16384,128,256,0.0723542,0.138177,.2105312
1024,16384,128,512,0.0721014,0.254944,.3270454
1024,16384,128,1024,0.0719968,0.464234,.5362308
1024,16384,256,128,0.128497,0.119574,.248071
1024,16384,256,256,0.128563,0.137902,.266465
1024,16384,256,512,0.128371,0.254821,.383192
1024,16384,256,1024,0.128337,0.463491,.591828
1024,40960,128,128,0.177664,0.281601,.459265
1024,40960,128,256,0.177535,0.403193,.580728
1024,40960,128,512,0.176863,0.597569,.774432
1024,40960,128,1024,0.177028,1.12975,1.306778
1024,40960,256,128,0.315957,0.280798,.596755
1024,40960,256,256,0.314473,0.4047,.719173
1024,40960,256,512,0.315573,0.598674,.914247
1024,40960,256,1024,0.314642,1.13295,1.447592
1024,51200,128,128,0.229174,0.292315,.521489
1024,51200,128,256,0.229237,0.538215,.767452
1024,51200,128,512,0.228389,0.816562,1.044951
1024,51200,128,1024,0.228806,1.45183,1.680636
1024,51200,256,128,0.406309,0.292296,.698605
1024,51200,256,256,0.406579,0.536371,.942950
1024,51200,256,512,0.404972,0.812133,1.217105
1024,51200,256,1024,0.404983,1.45069,1.855673
1024,614400,128,128,2.5319,2.83183,5.36373
1024,614400,128,256,2.52957,5.12974,7.65931
1024,614400,128,512,2.52935,8.44027,10.96962
1024,614400,128,1024,2.52744,16.2727,18.80014
1024,614400,256,128,4.47363,2.83175,7.30538
1024,614400,256,256,4.47511,5.12775,9.60286
1024,614400,256,512,4.47654,8.43885,12.91539
1024,614400,256,1024,4.47583,16.2705,20.74633
1024,81920,128,128,0.351137,0.442,.793137
1024,81920,128,256,0.352199,0.709312,1.061511
1024,81920,128,512,0.3518,1.16724,1.51904
1024,81920,128,1024,0.350859,2.22403,2.574889
1024,81920,256,128,0.624905,0.442613,1.067518
1024,81920,256,256,0.62356,0.713005,1.336565
1024,81920,256,512,0.623413,1.16831,1.791723
1024,81920,256,1024,0.626077,2.22624,2.852317
