,M,N,K,Swizzle,BaselineRatio,L2_Hit_Rate (%),Arithmetic Intensity,Performance Bound,sm__cycles_elapsed.avg,sm__cycles_elapsed.avg.per.second,sm__inst_executed_pipe_tensor.sum,dram__bytes.sum,Highlight,Total Time (seconds), base_ratio,w/o C,with C
15,131072,4096,2048,1,1,67.89,15.04512,memory bound,12090476.46,764.93,536870912,18270000000,,0.015805,0,0.030303674,0.089074436
16,131072,4096,2048,2,1.100856725,81.03,28.279296,memory bound,10982974.26,764.95,536870912,9720000000,,0.014357,0,0.056959684,0.16742695
17,131072,4096,2048,4,1.104163756,88.44,50.997248,memory bound,10947894.63,764.83,536870912,5390000000,,0.014314,0,0.102717649,0.301927635
18,131072,4096,2048,8,1.107645946,93.48,85.101056,,10914963.81,764.89,536870912,3230000000,,0.014269,0,0.171408089,0.503835898
19,131072,4096,2048,16,1.10780122,93.46,85.101056,,10914440.93,764.99,536870912,3230000000,,0.014267,0,0.171408089,0.503835898
20,131072,4096,2048,32,1.10780122,93.48,85.101056,,10915196.91,765.03,536870912,3230000000,,0.014267,0,0.171408089,0.503835898
21,131072,4096,2048,128,1.107723577,93.42,85.101056,,10916063.04,765.06,536870912,3230000000,,0.014268,0,0.171408089,0.503835898
36,131072,8192,2048,1,1,67.91,15.041024,memory bound,24260778.06,764.64,1073741824,36550000000,,0.031728,0,0.015606713,0.074361395
37,131072,8192,2048,2,1.10239394,80.63,28.366848,memory bound,22021695.81,765.14,1073741824,19380000000,,0.028781,0,0.029433712,0.140242982
38,131072,8192,2048,4,1.108789097,88.33,51.044864,memory bound,21889665.11,764.97,1073741824,10770000000,,0.028615,0,0.052964284,0.252359238
39,131072,8192,2048,8,1.112053556,93.41,84.969984,,21826396.96,764.99,1073741824,6470000000,,0.028531,0,0.088164659,0.42007867
40,131072,8192,2048,16,1.112053556,93.53,84.969984,,21825327.94,764.96,1073741824,6470000000,,0.028531,0,0.088164659,0.42007867
41,131072,8192,2048,32,1.11201458,93.48,84.969984,,21825327.91,764.93,1073741824,6470000000,,0.028532,0,0.088164659,0.42007867
42,131072,8192,2048,128,1.112170499,93.46,84.969984,,21826918.48,765.1,1073741824,6470000000,,0.028528,0,0.088164659,0.42007867
57,131072,14336,2048,1,1,67.92,15.044096,memory bound,43093306.19,764.93,1879048192,63950000000,,0.056336,0,0.009313388,0.068079555
58,131072,14336,2048,2,1.120289538,80.8,28.379648,memory bound,38472269.26,765.05,1879048192,33900000000,,0.050287,0,0.017569061,0.128427361
59,131072,14336,2048,4,1.124403728,88.21,51.038208,memory bound,38324725.72,764.91,1879048192,18850000000,,0.050103,0,0.031596348,0.230964857
60,131072,14336,2048,8,1.127802691,93.43,84.8384,,38217455.26,765.07,1879048192,11340000000,,0.049952,0,0.052521267,0.383923065
61,131072,14336,2048,16,1.127689813,93.47,84.913664,,38219335.2,765.03,1879048192,11330000000,,0.049957,0,0.052567623,0.38426192
62,131072,14336,2048,32,1.127644669,93.47,84.913664,,38216190.26,764.94,1879048192,11330000000,,0.049959,0,0.052567623,0.38426192
63,131072,14336,2048,128,1.127644669,93.5,84.8384,,38216881.24,764.95,1879048192,11340000000,,0.049959,0,0.052521267,0.383923065
78,131072,28672,2048,1,1,67.92,15.04256,memory bound,86043062.48,765.01,3758096384,1.2791E+11,,0.112473,0,0.005115405,0.063876977
79,131072,28672,2048,2,1.118878267,80.68,28.379648,memory bound,76906227.89,765.06,3758096384,67800000000,,0.100523,0,0.009650611,0.120508911
80,131072,28672,2048,4,1.122866042,88.22,51.038208,memory bound,76626310.94,764.99,3758096384,37700000000,,0.100166,0,0.017355741,0.216724249
81,131072,28672,2048,8,1.126103847,93.45,84.875776,,76404297.8,764.97,3758096384,22670000000,,0.099878,0,0.028862436,0.360410419
