M,N,K,Swizzle,BaselineRatio,L2_Hit_Rate (%),Arithmetic Intensity,Performance Bound,sm__cycles_elapsed.avg,sm__cycles_elapsed.avg.per.second,sm__inst_executed_pipe_tensor.sum,dram__bytes.sum,Highlight,Total Time (seconds), base_ratio
1024,8192,28762,1,0,91.12,58.931712,compute bound,115129.780000,762.410000,4194304.000000,36440000.000000,,.000151, 0
1024,8192,28762,16,0,90.76,59.045376,compute bound,115153.330000,762.400000,4194304.000000,36370000.000000,,.000151, 0
1024,8192,28762,128,0,91.22,59.159040,compute bound,115234.310000,765.860000,4194304.000000,36300000.000000,,.000150, 0
2048,8192,28762,1,0,91.09,59.273216,compute bound,114932.280000,761.420000,4194304.000000,36230000.000000,,.000150, 0
2048,8192,28762,16,0,91.92,58.562048,compute bound,115400.040000,763.550000,4194304.000000,36670000.000000,,.000151, 0
2048,8192,28762,128,0,91.02,59.569152,compute bound,115296.870000,766.600000,4194304.000000,36050000.000000,,.000150, 0
16384,8192,28762,1,0,92.07,58.641920,compute bound,115410.690000,765.080000,4194304.000000,36620000.000000,,.000150, 0
16384,8192,28762,16,0,90.16,59.061248,compute bound,115446.700000,763.210000,4194304.000000,36360000.000000,,.000151, 0
16384,8192,28762,128,0,91.14,58.674176,compute bound,115368.040000,764.800000,4194304.000000,36600000.000000,,.000150, 0
32768,8192,28762,1,0,91.18,59.061248,compute bound,115843.540000,768.440000,4194304.000000,36360000.000000,,.000150, 0
32768,8192,28762,16,0,91.17,58.674176,compute bound,115389.410000,764.290000,4194304.000000,36600000.000000,,.000150, 0
32768,8192,28762,128,0,90.93,72.623616,compute bound,115291.560000,764.780000,4194304.000000,29570000.000000,,.000150, 0
65536,8192,28762,1,0,91.09,59.012608,compute bound,115541.150000,765.940000,4194304.000000,36390000.000000,,.000150, 0
65536,8192,28762,16,0,91.08,58.577920,compute bound,115292.000000,766.730000,4194304.000000,36660000.000000,,.000150, 0
65536,8192,28762,128,0,91.04,126.694912,compute bound,116238.060000,774.340000,4194304.000000,16950000.000000,,.000150, 0
