,M,N,K,Swizzle,BaselineRatio,L2_Hit_Rate (%),Arithmetic Intensity,Performance Bound,sm__cycles_elapsed.avg,sm__cycles_elapsed.avg.per.second,sm__inst_executed_pipe_tensor.sum,dram__bytes.sum,Highlight,Total Time (seconds), base_ratio
1,65536,1024,65536,1,1,56.65,9.522688,memory bound,223715102.3,1.29,2147483648,1.1546E+11,,173.422559,0
2,65536,1024,65536,8,2.054638296,86.78,40.172032,memory bound,109727014.9,1.3,2147483648,27370000000,,84.405396,0
3,65536,1024,65536,16,2.054703974,86.49,39.40864,memory bound,109723507.4,1.3,2147483648,27900000000,,84.402698,0
4,65536,1024,65536,128,2.054709257,87.09,40.919552,memory bound,109723225.9,1.3,2147483648,26870000000,,84.402481,0
5,65536,1024,65536,256,,0,,balanced,,,,,,, 
6,65536,1024,65536,512,2.054696525,86.93,40.542208,memory bound,109723905.3,1.3,2147483648,27120000000,,84.403004,0
7,65536,1024,65536,1024,2.054688759,86.87,40.512512,memory bound,109724321.1,1.3,2147483648,27140000000,,84.403323,0
8,65536,1024,32768,1,1,58.69,9.785344,memory bound,109365828,1.32,1073741824,56180000000,,82.8529,0
9,65536,1024,32768,8,1.959476141,91.96,57.385472,memory bound,54968145.86,1.3,1073741824,9580000000,,42.283189,0
10,65536,1024,32768,16,1.959467614,91.93,57.266176,memory bound,54968385.71,1.3,1073741824,9600000000,,42.283373,0
11,65536,1024,32768,128,1.959361822,91.94,57.206272,memory bound,54971353.14,1.3,1073741824,9610000000,,42.285656,0
12,65536,1024,32768,256,1.959407001,91.95,57.325568,memory bound,54970085.71,1.3,1073741824,9590000000,,42.284681,0
13,65536,1024,32768,512,1.959467568,91.95,57.266176,memory bound,54968386.86,1.3,1073741824,9600000000,,42.283374,0
14,65536,1024,32768,1024,1.959410616,91.96,57.325568,memory bound,54969985,1.3,1073741824,9590000000,,42.284603,0
15,65536,1024,16384,1,1,65.33,10.758144,memory bound,49992311.86,1.31,536870912,25550000000,,38.16207,0
16,65536,1024,16384,8,1.796988089,91.98,56.44288,memory bound,27607691.71,1.3,536870912,4870000000,,21.236685,0
17,65536,1024,16384,16,1.796892646,91.98,56.44288,memory bound,27609157.14,1.3,536870912,4870000000,,21.237813,0
18,65536,1024,16384,128,1.797026168,91.98,56.44288,memory bound,27607105.57,1.3,536870912,4870000000,,21.236235,0
19,65536,1024,16384,256,1.796917267,91.98,56.44288,memory bound,27608779.71,1.3,536870912,4870000000,,21.237522,0
20,65536,1024,16384,512,1.796770649,91.98,56.44288,memory bound,27611031.57,1.3,536870912,4870000000,,21.239255,0
21,65536,1024,16384,1024,1.810434625,91.97,56.44288,memory bound,27613432.14,1.31,536870912,4870000000,,21.078955,0
22,65536,1024,2048,1,1,74.85,11.930112,memory bound,5617233.71,1.3,67108864,2880000000,,4.320949,0
23,65536,1024,2048,8,1.522504689,92.2,45.842432,memory bound,3661089.14,1.29,67108864,749510000,,2.838053,0
24,65536,1024,2048,16,1.534553793,92.19,45.800448,memory bound,3660500,1.3,67108864,750200000,,2.815769,0
25,65536,1024,2048,128,1.534047669,92.2,45.88544,memory bound,3661708.14,1.3,67108864,748810000,,2.816698,0
26,65536,1024,2048,256,1.522495033,92.27,45.778432,memory bound,3661112.71,1.29,67108864,750560000,,2.838071,0
27,65536,1024,2048,512,1.534208895,92.19,45.891584,memory bound,3661322.71,1.3,67108864,748710000,,2.816402,0
28,65536,1024,2048,1024,1.534328747,92.19,45.909504,memory bound,3661036.71,1.3,67108864,748420000,,2.816182,0
29,65536,1024,1024,1,1,75.84,11.377152,memory bound,2990557.86,1.3,33554432,1510000000,,2.300429,0
30,65536,1024,1024,8,1.529122693,95.22,45.26592,memory bound,1955735.43,1.3,33554432,379530000,,1.504411,0
31,65536,1024,1024,16,1.529397178,95.49,46.151168,memory bound,1955383.86,1.3,33554432,372250000,,1.504141,0
32,65536,1024,1024,128,1.529284322,95.47,46.106624,memory bound,1955528,1.3,33554432,372610000,,1.504252,0
33,65536,1024,1024,256,1.517866911,95.52,46.258176,memory bound,1955082.57,1.29,33554432,371390000,,1.515567,0
34,65536,1024,1024,512,1.528659343,95.37,45.787136,memory bound,1956328,1.3,33554432,375210000,,1.504867,0
35,65536,1024,1024,1024,1.519379707,95.72,46.653952,memory bound,1953136,1.29,33554432,368240000,,1.514058,0
36,65536,2048,65536,1,1,56.67,9.527808,memory bound,447091920.9,1.31,4294967296,2.3079E+11,,341.291542,0
37,65536,2048,65536,8,2.022156428,84.54,35.473408,memory bound,219408845,1.3,4294967296,61990000000,,168.776034,0
38,65536,2048,65536,16,2.037199042,82.57,32.139776,memory bound,219464034.6,1.31,4294967296,68420000000,,167.529797,0
39,65536,2048,65536,128,2.037473888,84.51,35.29728,memory bound,219434429.6,1.31,4294967296,62300000000,,167.507198,0
40,65536,2048,65536,256,2.022166324,84.35,35.122176,memory bound,219407771.4,1.3,4294967296,62610000000,,168.775208,0
41,65536,2048,65536,512,2.037474569,82.64,32.191488,memory bound,219434357.1,1.31,4294967296,68310000000,,167.507142,0
42,65536,2048,65536,1024,2.021935169,83.29,33.288192,memory bound,219432854,1.3,4294967296,66060000000,,168.794503,0
43,65536,2048,32768,1,1,60.51,10.044416,memory bound,212814285.7,1.29,2147483648,1.0946E+11,,164.972314,0
44,65536,2048,32768,8,1.951599474,91.85,56.705024,memory bound,109891405.3,1.3,2147483648,19390000000,,84.53185,0
45,65536,2048,32768,16,1.951701571,91.89,56.93952,memory bound,109885656.7,1.3,2147483648,19310000000,,84.527428,0
46,65536,2048,32768,128,1.951633459,91.76,56.269312,memory bound,109889492.3,1.3,2147483648,19540000000,,84.530378,0
47,65536,2048,32768,256,1.951624131,91.8,56.472064,memory bound,109890016.7,1.3,2147483648,19470000000,,84.530782,0
48,65536,2048,32768,512,1.951591601,91.88,56.617472,memory bound,109891849.4,1.3,2147483648,19420000000,,84.532191,0
49,65536,2048,32768,1024,1.951642232,91.77,56.24064,memory bound,109888997.9,1.3,2147483648,19550000000,,84.529998,0
50,65536,2048,16384,1,1,64.91,10.684928,memory bound,100480444.3,1.31,1073741824,51450000000,,76.702629,0
51,65536,2048,16384,8,1.807148542,91.86,55.983104,memory bound,55177211.71,1.3,1073741824,9820000000,,42.444009,0
52,65536,2048,16384,16,1.80728216,91.85,55.755776,memory bound,55173132.43,1.3,1073741824,9860000000,,42.440871,0
53,65536,2048,16384,128,1.807271556,91.92,56.09728,memory bound,55173457.14,1.3,1073741824,9800000000,,42.44112,0
54,65536,2048,16384,256,1.807195719,91.86,55.755776,memory bound,55175772.29,1.3,1073741824,9860000000,,42.442901,0
55,65536,2048,16384,512,1.80724473,91.89,55.86944,memory bound,55174275.57,1.3,1073741824,9840000000,,42.44175,0
56,65536,2048,16384,1024,1.807299108,91.88,55.86944,memory bound,55172616,1.3,1073741824,9840000000,,42.440473,0
57,65536,2048,2048,1,1,75.05,11.951104,memory bound,11210589.14,1.3,134217728,5750000000,,8.62353,0
58,65536,2048,2048,8,1.536424547,92.16,45.50912,memory bound,7296544.29,1.3,134217728,1510000000,,5.612726,0
