headdim,batch_size,seqlen,dim,Total Time (seconds),arithmetic intensity,l2_hit_rate,Performance Bound,Base Ratio,sm__cycles_elapsed.avg,sm__cycles_elapsed.avg.per.second,sm__inst_executed_pipe_tensor.sum,dram__bytes.sum
32,1,512,512,0.010233,7.423488,54.69,memory bound,1,10335.71,1.01,16384,1130000
32,1,512,1024,0.011762,7.078912,52.92,memory bound,1,12233.29,1.04,32768,2370000
32,1,512,2048,0.016325,6.961152,51.82,memory bound,1,18121.43,1.11,65536,4820000
32,1,512,4096,0.027566,13.822464,50.65,memory bound,1,31701.29,1.15,262144,9710000
32,1,512,8192,0.050548,13.723648,50.73,memory bound,1,59647.57,1.18,524288,19560000
32,1,512,16384,0.083282,13.779968,50.41,memory bound,1,101604.14,1.22,1048576,38960000
32,1,1024,512,0.011842,7.078912,52.94,memory bound,1,12316.71,1.04,32768,2370000
32,1,1024,1024,0.016222,6.833664,51.97,memory bound,1,18168.71,1.12,65536,4910000
32,1,1024,2048,0.02568,6.918144,50.73,memory bound,1,27734.43,1.08,131072,9700000
32,1,1024,4096,0.045799,13.646848,50.4,memory bound,1,55417,1.21,524288,19670000
32,1,1024,8192,0.087372,13.705728,50.19,memory bound,1,106594.14,1.22,1048576,39170000
32,1,1024,16384,0.150687,13.7728,50.14,memory bound,1,186852.29,1.24,2097152,77960000
32,1,2048,512,0.016628,6.751232,51.75,memory bound,1,18125.57,1.09,65536,4970000
32,1,2048,1024,0.026398,6.751232,51.43,memory bound,1,28774.86,1.09,131072,9940000
32,1,2048,2048,0.041104,6.93248,50.45,memory bound,1,46037.57,1.12,262144,19360000
32,1,2048,4096,0.082439,13.288448,50.2,memory bound,1,103049.71,1.25,1048576,40400000
32,1,2048,8192,0.159866,13.245952,49.01,memory bound,1,201432,1.26,2097152,81060000
32,1,2048,16384,0.289052,13.671936,50.08,memory bound,1,367096.57,1.27,4194304,157070000
32,1,4096,512,0.026157,6.724096,50.73,memory bound,1,28250.14,1.08,131072,9980000
32,1,4096,1024,0.041579,6.774784,50.42,memory bound,1,47816.14,1.15,262144,19810000
32,1,4096,2048,0.069375,6.92736,50.11,memory bound,1,83944.57,1.21,524288,38750000
32,1,4096,4096,0.137358,6.5536,49.97,memory bound,1,171697.57,1.25,1048576,81920000
32,1,4096,8192,0.306676,12.914688,47.92,memory bound,1,392545.71,1.28,4194304,166280000
32,1,4096,16384,0.557815,13.599744,50.05,memory bound,1,719581.86,1.29,8388608,315810000
32,1,8192,512,0.041553,6.826496,50.35,memory bound,1,46955.57,1.13,262144,19660000
32,1,8192,1024,0.070946,6.739456,50.29,memory bound,1,85845.29,1.21,524288,39830000
32,1,8192,2048,0.134837,6.636544,49.26,memory bound,1,167198.14,1.24,1048576,80890000
32,1,8192,4096,0.265818,6.402048,48.62,memory bound,1,342905.29,1.29,2097152,167710000
32,1,8192,8192,0.599911,12.343808,45.58,memory bound,1,773886,1.29,8388608,347940000
32,1,8192,16384,1.117002,13.57312,50.12,memory bound,1,1429763.29,1.28,16777216,632850000
32,1,16384,512,0.071528,6.699008,50.2,memory bound,1,85834.29,1.2,524288,40070000
32,1,16384,1024,0.128641,6.728192,50.1,memory bound,1,162087.71,1.26,1048576,79790000
32,1,16384,2048,0.257113,6.596608,49.47,memory bound,1,326534.71,1.27,2097152,162770000
32,1,16384,4096,0.51869,6.291968,47.89,memory bound,1,679484.57,1.31,4194304,341290000
32,1,16384,8192,1.187882,12.605952,47.31,memory bound,1,1544247.57,1.3,16777216,681410000
32,1,16384,16384,2.201766,13.52704,50.16,memory bound,1,2884313.86,1.31,33554432,1270000000
32,2,512,512,0.011812,7.138816,52.95,memory bound,1,12284.57,1.04,32768,2350000
32,2,512,1024,0.016251,6.990336,51.84,memory bound,1,17552,1.08,65536,4800000
32,2,512,2048,0.026859,13.653504,50.74,memory bound,1,31425.14,1.17,262144,9830000
32,2,512,4096,0.048798,13.625856,50.43,memory bound,1,58070,1.19,524288,19700000
32,2,512,8192,0.081857,13.643264,50.24,memory bound,1,101503.71,1.24,1048576,39350000
32,2,512,16384,0.143786,13.526528,50.17,memory bound,1,181171.14,1.26,2097152,79380000
32,2,1024,512,0.016394,6.861824,51.79,memory bound,1,17706.43,1.08,65536,4890000
32,2,1024,1024,0.025878,6.861824,51.44,memory bound,1,27948.71,1.08,131072,9780000
32,2,1024,2048,0.045475,13.421568,50.18,memory bound,1,55025.14,1.21,524288,20000000
32,2,1024,4096,0.085881,13.584384,50.17,memory bound,1,105634.71,1.23,1048576,39520000
32,2,1024,8192,0.149688,13.562368,50.21,memory bound,1,188607,1.26,2097152,79170000
32,2,1024,16384,0.265988,13.566464,50.2,memory bound,1,340465.71,1.28,4194304,158290000
32,2,2048,512,0.026182,6.812672,50.9,memory bound,1,28538.71,1.09,131072,9850000
32,2,2048,1024,0.041022,6.889984,50.43,memory bound,1,46355.86,1.13,262144,19480000
32,2,2048,2048,0.081483,13.364736,50.2,memory bound,1,101854.14,1.25,1048576,40170000
32,2,2048,4096,0.161031,13.490688,50.12,memory bound,1,202899.14,1.26,2097152,79590000
32,2,2048,8192,0.286319,13.496832,50.13,memory bound,1,366488.71,1.28,4194304,159110000
32,2,2048,16384,0.519257,13.507584,50.05,memory bound,1,669841.57,1.29,8388608,317960000
32,2,4096,512,0.042216,6.774784,50.67,memory bound,1,47704.57,1.13,262144,19810000
32,2,4096,1024,0.069824,6.843904,50.22,memory bound,1,84488,1.21,524288,39220000
32,2,4096,2048,0.137988,6.585344,50.13,memory bound,1,169726,1.23,1048576,81520000
32,2,4096,4096,0.30806,13.35808,49.8,memory bound,1,397398.57,1.29,4194304,160760000
32,2,4096,8192,0.562238,13.451264,50.04,memory bound,1,725287.29,1.29,8388608,319290000
32,2,4096,16384,1.01972,13.4272,50.04,memory bound,1,1325637.14,1.3,16777216,639740000
32,2,8192,512,0.070508,6.740992,50.2,memory bound,1,85315.57,1.21,524288,39820000
32,2,8192,1024,0.134446,6.596096,49.38,memory bound,1,168057.86,1.25,1048576,81390000
32,2,8192,2048,0.268324,6.391808,48.48,memory bound,1,338088.57,1.26,2097152,167980000
32,2,8192,4096,0.607607,13.12,49.2,memory bound,1,783814.29,1.29,8388608,327360000
32,2,8192,8192,1.111059,13.344768,50.17,memory bound,1,1444377.29,1.3,16777216,643690000
32,2,8192,16384,2.06104,13.215232,50.02,memory bound,1,2679352.57,1.3,33554432,1300000000
32,2,16384,512,0.130266,6.739968,50.19,memory bound,1,162832.86,1.25,1048576,79650000
32,2,16384,1024,0.257892,6.564352,49.5,memory bound,1,335260,1.3,2097152,163570000
32,2,16384,2048,0.519593,6.311424,48.16,memory bound,1,680666.86,1.31,4194304,340230000
32,2,16384,4096,1.21048,12.778496,48.28,memory bound,1,1573625.14,1.3,16777216,672210000
32,2,16384,8192,2.240306,13.215232,50.05,memory bound,1,2912398.43,1.3,33554432,1300000000
32,2,16384,16384,4.162107,13.114368,49.92,memory bound,1,5410739.86,1.3,67108864,2620000000
32,4,512,512,0.016082,6.990336,51.64,memory bound,1,17851.14,1.11,65536,4800000
32,4,512,1024,0.026904,13.275648,50.77,memory bound,1,31747.57,1.18,262144,10110000
32,4,512,2048,0.050184,13.495808,50.71,memory bound,1,57210.86,1.14,524288,19890000
32,4,512,4096,0.082114,13.57056,50.25,memory bound,1,101001.29,1.23,1048576,39560000
32,4,512,8192,0.144602,13.28384,50.14,memory bound,1,182199,1.26,2097152,80830000
32,4,512,16384,0.267945,13.18656,50.13,memory bound,1,342970.57,1.28,4194304,162850000
32,4,1024,512,0.025776,6.89664,50.72,memory bound,1,27838.43,1.08,131072,9730000
