tileshape0,tileshape1,tileshape2,clustershape0,clustershape1,runtime(ms),GFLOPS,峰值性能占比,峰值性能989.4TFLOPS
128,256,64,2,1,1.16146,739582,0.747505559,
256,128,64,1,2,1.18492,724937,0.732703659,
128,256,64,1,2,1.19639,717987,0.7256792,
256,128,64,2,1,1.20867,710694,0.718308065,
256,128,32,1,2,1.23626,694833,0.702277138,
128,256,64,8,2,1.23954,692996,0.700420457,
128,256,64,4,4,1.24282,691165,0.69856984,
128,256,64,8,1,1.24363,690714,0.698114008,
128,256,64,2,4,1.24473,690105,0.697498484,
128,256,64,4,2,1.24735,688652,0.696029917,
256,128,64,2,4,1.2517,686264,0.693616333,
128,256,64,2,2,1.25181,686201,0.693552658,
256,128,64,1,8,1.25334,685364,0.692706691,
256,128,64,2,8,1.25458,684683,0.692018395,
64,256,64,4,4,1.25756,683061,0.690379018,
256,128,64,1,16,1.25902,682272,0.689581565,
128,256,32,4,2,1.25919,682177,0.689485547,
128,256,32,4,4,1.26037,681542,0.688843744,
256,128,64,4,2,1.26154,680910,0.688204973,
256,128,64,4,4,1.26709,677927,0.685190014,
64,256,32,4,4,1.26839,677230,0.684485547,
128,256,64,16,1,1.26904,676882,0.684133818,
128,256,64,1,8,1.2692,676798,0.684048919,
128,256,32,2,4,1.2699,676428,0.683674955,
128,256,32,2,8,1.27036,676180,0.683424298,
256,128,32,2,8,1.27061,676049,0.683291894,
128,128,64,2,8,1.27185,675387,0.682622802,
256,128,32,2,4,1.27387,674316,0.681540327,
256,128,64,8,2,1.2746,673932,0.681152213,
256,128,64,1,4,1.27622,673078,0.680289064,
256,128,64,2,2,1.27649,672932,0.6801415,
128,256,32,4,1,1.27747,672418,0.679621993,
256,128,32,1,8,1.28007,671054,0.67824338,
128,256,64,1,4,1.28083,670652,0.677837073,
64,256,64,2,4,1.28451,668731,0.675895492,
256,128,64,4,1,1.28536,668290,0.675449768,
256,128,64,8,1,1.28638,667758,0.674912068,
64,256,32,8,2,1.28735,667257,0.6744057,
256,128,32,1,16,1.28735,667258,0.674406711,
128,256,32,2,2,1.28768,667085,0.674231858,
64,128,64,2,8,1.29099,665375,0.672503537,
256,128,32,4,4,1.29148,665125,0.672250859,
256,128,32,4,2,1.29667,662463,0.66956034,
256,128,32,2,1,1.29888,661334,0.668419244,
256,128,64,16,1,1.30012,660705,0.667783505,
128,128,64,4,4,1.30032,660602,0.667679402,
128,128,64,1,8,1.30033,660594,0.667671316,
256,128,32,1,4,1.30158,659964,0.667034566,
128,128,64,2,4,1.30253,659479,0.66654437,
256,128,32,8,2,1.30255,659472,0.666537295,
256,128,32,2,2,1.30489,658289,0.665341621,
128,256,64,1,16,1.3078,656824,0.663860926,
64,256,32,4,2,1.3172,652138,0.659124722,
128,128,64,1,16,1.31764,651918,0.658902365,
128,128,64,4,2,1.32076,650377,0.657344855,
128,128,64,2,2,1.32164,649948,0.656911259,
256,128,32,8,1,1.32202,649759,0.656720234,
128,128,64,8,2,1.32209,649726,0.656686881,
64,128,64,4,4,1.32402,648777,0.655727714,
64,256,64,8,2,1.32432,648629,0.655578128,
64,256,32,16,1,1.33045,645641,0.652558116,
64,256,32,8,1,1.33118,645288,0.652201334,
64,256,64,4,2,1.33237,644713,0.651620174,
128,128,64,8,1,1.33563,643136,0.650026279,
256,128,32,16,1,1.33611,642906,0.649793814,
256,128,32,4,1,1.33659,642675,0.64956034,
128,128,64,1,4,1.33932,641367,0.648238326,
64,256,32,4,1,1.3454,638466,0.645306246,
64,256,64,8,1,1.34639,637998,0.644833232,
64,256,64,2,2,1.351,635822,0.64263392,
256,128,64,1,1,1.35527,633818,0.64060845,
64,128,64,2,4,1.35645,633267,0.640051546,
64,256,64,16,1,1.35764,632712,0.6394906,
128,128,64,16,1,1.3671,628332,0.635063675,
128,128,64,1,2,1.37962,622633,0.629303618,
256,128,16,1,8,1.38346,620901,0.627553062,
64,128,64,8,2,1.38962,618151,0.6247736,
64,256,64,2,1,1.39211,617044,0.62365474,
128,128,128,1,2,1.39382,616288,0.622890641,
256,64,64,1,16,1.39499,615772,0.622369113,
128,128,64,4,1,1.40023,613466,0.620038407,
64,128,64,4,2,1.40494,611410,0.61796038,
256,128,16,1,16,1.41044,609024,0.615548817,
128,256,32,2,1,1.42716,601892,0.608340408,
256,64,64,1,4,1.43743,597589,0.603991308,
256,64,64,1,2,1.43753,597546,0.603947847,
256,64,64,1,8,1.43845,597166,0.603563776,
128,128,64,2,1,1.45634,589829,0.596148171,
256,64,32,1,8,1.45955,588534,0.594839297,
256,64,64,2,8,1.45996,588368,0.594671518,
128,256,16,4,4,1.46471,586461,0.592744087,
256,64,64,2,4,1.46566,586078,0.592356984,
64,128,64,8,1,1.46714,585487,0.591759652,
256,64,32,2,8,1.46791,585183,0.591452395,
64,128,64,4,1,1.46932,584621,0.590884374,
256,128,16,2,8,1.47081,584028,0.590285021,
256,64,32,1,16,1.47542,582203,0.588440469,
256,64,64,2,2,1.48065,580145,0.58636042,
128,128,128,1,4,1.4852,578367,0.584563372,
256,128,16,4,4,1.48778,577368,0.583553669,
256,64,32,1,4,1.49099,576124,0.582296341,
64,128,64,2,2,1.49247,575552,0.581718213,
256,64,32,2,4,1.49419,574891,0.581050131,
64,128,128,2,8,1.49648,574011,0.580160703,
256,64,64,4,4,1.5008,572356,0.578487973,
256,64,32,4,4,1.51012,568823,0.574917121,
128,256,16,2,8,1.51749,566061,0.572125531,
256,64,64,4,2,1.52604,562891,0.568921569,
64,128,128,4,4,1.52607,562878,0.568908429,
128,256,16,4,1,1.53424,559882,0.565880332,
256,128,16,1,4,1.53476,559692,0.565688296,
256,128,32,1,1,1.53987,557836,0.563812412,
256,128,16,8,2,1.54616,555566,0.561518092,
128,256,128,1,2,1.54649,555447,0.561397817,
256,64,32,8,2,1.54788,554949,0.560894482,
256,64,32,2,2,1.54849,554729,0.560672125,
64,128,128,2,4,1.55083,553893,0.559827168,
256,64,64,8,2,1.56349,549407,0.555293107,
256,64,32,4,2,1.5659,548564,0.554441075,
64,256,32,2,1,1.57195,546451,0.552305438,
64,128,128,4,2,1.5728,546155,0.552006266,
128,256,128,2,1,1.57965,543788,0.549613907,
256,128,16,2,4,1.59131,539804,0.545587225,
64,128,128,8,2,1.60488,535237,0.540971296,
128,256,16,4,2,1.60579,534934,0.54066505,
128,64,64,2,8,1.62231,529488,0.535160703,
128,256,128,4,2,1.64404,522489,0.528086719,
128,64,64,1,8,1.65102,520282,0.525856074,
128,256,16,2,4,1.65943,517643,0.523188801,
256,64,32,1,2,1.66088,517191,0.522731959,
128,64,64,1,16,1.66505,515897,0.521424095,
256,128,128,1,2,1.67538,512716,0.518209016,
128,256,128,8,1,1.67634,512423,0.517912876,
64,128,128,8,1,1.67732,512123,0.517609662,
128,256,128,2,4,1.68197,510706,0.516177481,
64,128,128,4,1,1.68288,510432,0.515900546,
64,128,128,2,2,1.6848,509849,0.5153113,
128,64,64,4,4,1.68583,509538,0.514996968,
128,256,128,4,1,1.68654,509322,0.514778654,
